,x1,x2,x3,x4,y1,y2,y3,y4
w1s1,4496923.983,4496924.661,4496926.787,4496926.063,517442.824,517445.0397,517444.0901,517441.8743
w1s2,4496923.237,4496923.983,4496925.792,4496925.046,517440.7665,517442.7335,517441.7613,517439.8847
w1s3,4496926.742,4496927.669,4496929.704,4496928.776,517439.1159,517441.1508,517440.269,517438.2115
w1s4,4496930.359,4496931.354,4496933.276,4496932.326,517437.488,517439.5229,517438.7089,517436.5836
w1s5,4496934.09,4496934.859,4496936.667,4496935.831,517435.9505,517437.7367,517436.9228,517435.1818
w2s1,4496926.583,4496927.51,4496929.523,4496928.641,517449.0643,517451.2801,517450.3983,517448.1373
w2s2,4496925.792,4496926.651,4496928.528,4496927.669,517447.052,517448.9965,517448.1599,517446.2833
w2s3,4496929.41,4496930.224,4496932.191,4496931.241,517445.5372,517447.3912,517446.532,517444.6554
w2s4,4496932.846,4496933.841,4496935.876,4496934.859,517443.8866,517445.8311,517444.9041,517442.9144
w2s5,4496936.6,4496937.549,4496939.539,4496938.567,517442.1683,517444.1806,517443.2762,517441.3091
w3s1,4496927.985,4496928.596,4496930.653,4496930.269,517456.1413,517458.2214,517457.3396,517455.169
w3s2,4496928.415,4496929.297,4496931.173,4496930.359,517453.4959,517455.4856,517454.5812,517452.5689
w3s3,4496931.851,4496932.801,4496934.881,4496933.932,517451.8001,517453.9029,517452.9532,517450.9862
w3s4,4496935.537,4496936.464,4496938.386,4496937.481,517450.3079,517452.2523,517451.3932,517449.313
w3s5,4496939.358,4496940.149,4496942.071,4496941.235,517448.5669,517450.534,517449.72,517447.7303
w4s1,4496931.399,4496931.738,4496935.062,4496934.836,517462.6982,517464.2809,517462.8564,517461.1607
w4s2,4496930.766,4496931.693,4496933.751,4496932.733,517459.691,517461.7711,517460.8441,517458.8318
w4s3,4496934.542,4496935.492,4496937.549,4496936.509,517457.9953,517460.0302,517459.1032,517457.1813
w4s4,4496938.024,4496939.064,4496941.054,4496940.127,517456.503,517458.4475,517457.5657,517455.5534
w4s5,4496941.845,4496942.749,4496944.649,4496943.722,517454.8073,517456.7517,517455.9604,517453.8576
